doi,ss_id,title,year,abstract,citations,is_oa,pdf_url,source
10.1016/j.nanoen.2019.01.048,145a6dd87c7c237735780492823e9f00fe40ab31,"Capacitance controlled, hierarchical porous 3D ultra-thin carbon networks reinforced prussian blue for high performance Na-ion battery cathode",2019.0,"Abstract 3D ultra-thin carbon networks are ideal skeleton structures for loading active materials as energy storage and conversion devices. In this work, excellent cathode materials for sodium ion batteries were successfully prepared by homogeneously anchoring NaxKyMnFe(CN)6 (x + y ≤ 2, NaK-MnHCF) on hierarchical porous 3D N-doped ultra-thin carbon networks (3DNC). The compounds present a high reversible capacity, good rate performance, and superior cycling stability. Combined fully experimental",135,False,,semantic_scholar
10.1016/j.jallcom.2019.04.271,7de9cc64c0a8d9e9b80bc8bc336cec2048c7c4f5,Mitigating the voltage fading and lattice cell variations of O3-NaNi0.2Fe0.35Mn0.45O2 for high performance Na-ion battery cathode by Zn doping,2019.0,"Abstract O3-type layered oxides have attracted considerable interest as cathode materials for sodium ion batteries. However, the oxides' poor rate capability, inferior cycling stability and voltage decay impede the use of these oxides in practical applications. In this study, a series of O3-type NaNi0.2Fe0.35Mn0.45-xZnxO2 (x = 0, 0.02, 0.05, 0.07 and 0.1) cathode materials were synthesized via a solid state reaction. With an optimized Zn2+ content of 0.05, NaNi0.2Fe0.35Mn0.4Zn0.05O2 cathode exhi",55,False,,semantic_scholar
10.1021/acs.chemmater.6b03074,d1ed092e76d4c36955543375123ec6dfb8428f15,Insights into the Nature and Evolution upon Electrochemical Cycling of Planar Defects in the β-NaMnO2 Na-Ion Battery Cathode: An NMR and First-Principles Density Functional Theory Approach,2016.0,,62,False,,semantic_scholar
10.1016/j.electacta.2018.10.010,739f40d38fdf73e34dc3652035fbfcfb56f1725b,VO2 (A)/graphene nanostructure: Stand up to Na ion intercalation/deintercalation for enhanced electrochemical performance as a Na-ion battery cathode,2019.0,"Abstract Intercalation/deintercalation of large size Na ion leads to serious electrode materials fragmentation that would be the main reason of Na-ion battery capacity fading. Herein, we reported a Na-ion battery cathode material composed of layer-structured VO2 (A) nanowires wrapped with graphene. The VO2 (A)/graphene nanostructure which effectively suppressed pulverization of VO2 (A) nanowires during cyclic charging and discharging exhibited prominent cycle stability and high specific capacity",16,False,,semantic_scholar
10.1021/acs.chemmater.7b02397,7b73ca10af5f43ed012c764f2a4a434da7d7e4e2,Structure–Electrochemical Evolution of a Mn-Rich P2 Na2/3Fe0.2Mn0.8O2 Na-Ion Battery Cathode,2017.0,,58,True,https://www.osti.gov/biblio/1393849,semantic_scholar
10.1002/aenm.201800221,f1a163f849bd4f5da4965558564990464eec8738,KVOPO4: A New High Capacity Multielectron Na‐Ion Battery Cathode,2018.0,,51,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201800221,semantic_scholar
10.1021/acsmaterialslett.1c00545.s001,2d26527b7a06e1775b48db18f48bf8cf1434513d,Screening Topological Quantum Materials for Na-Ion Battery Cathode,2021.0,,16,True,https://figshare.com/articles/journal_contribution/Screening_Topological_Quantum_Materials_for_Na-Ion_Battery_Cathode/17263751/1/files/31905374.pdf,semantic_scholar
10.1016/j.jallcom.2017.09.146,3ff70978b23d8faa8af5907be867552759fad1a1,Electrochemical properties of NaxMnFe(CN)6·zH2O synthesized in a Taylor-Couette reactor as a Na-ion battery cathode material,2017.0,,41,False,,semantic_scholar
10.1021/acs.jpcc.7b02479,4a620efd949fb85a8ef760eeaadede2e430217a9,"Ab Initio Study of Stability of Na2Fe2(SO4)3, a High Potential Na-Ion Battery Cathode Material",2017.0,,25,False,,semantic_scholar
10.1038/s41598-017-00346-x,5aecf5ae1e65b70eaf4435314539b88d7f05ed6a,"Na-rich layered Na2Ti1−xCrxO3−x/2 (x = 0, 0.06): Na-ion battery cathode materials with high capacity and long cycle life",2017.0,"Rechargeable lithium batteries have been well-known and indispensable for portable electronic devices, and have the potential to be used in electric vehicles and smart grids. However, the growing concerns about the availability of lithium resources for large-scale applications have revived interest in sodium ion batteries. Of many obstacles to commercialization of Na-ion batteries, achieving simultaneously a large reversible capacity and good cycling capability of electrode materials remains a m",28,True,https://doi.org/10.1038/s41598-017-00346-x,semantic_scholar
10.1002/adma.202413760,e4782cffa09176d372db112768099f85f84d5913,"Unraveling 3d Transition Metal (Ni, Co, Mn, Fe, Cr, V) Ions Migration in Layered Oxide Cathodes: A Pathway to Superior Li‐Ion and Na‐Ion Battery Cathodes",2025.0,"Li‐ion and Na‐ion batteries are promising systems for powering electric vehicles and grid storage. Layered 3d transition metal oxides AxTMO2 (A = Li, Na; TM = 3d transition metals; 0 < x ≤ 2) have drawn extensive attention as cathode materials due to their exceptional energy densities. However, they suffer from several technical challenges caused by crystal structure degradation associated with TM ions migration, such as poor cycling stability, inferior rate capability, significant voltage hyste",42,False,,semantic_scholar
10.1007/s12274-017-1538-y,fd03f49c51c06ac044cc11ab69e2d18adc340940,NaF–FeF2 nanocomposite: New type of Na-ion battery cathode material,2017.0,,19,False,,semantic_scholar
10.1021/cm5011218,fdbea877b70431207e34415cf9f187dae30265ad,"Ionic conduction in cubic Na3TiP3O9N, a secondary Na-ion battery cathode with extremely low volume change",2014.0,,72,False,,semantic_scholar
10.1016/j.jechem.2023.02.016,8166ad75e4c43633750f0ce07edc3c55f637bf74,Regulating the electrochemical activity of Fe-Mn-Cu-based layer oxides as cathode materials for high-performance Na-ion battery,2023.0,,197,False,,semantic_scholar
10.1038/s41467-021-25610-7,31b64d851eb377eb98749125c3a0c23492fb0808,Boron-doped sodium layered oxide for reversible oxygen redox reaction in Na-ion battery cathodes,2021.0,"Na-ion cathode materials operating at high voltage with a stable cycling behavior are needed to develop future high-energy Na-ion cells. However, the irreversible oxygen redox reaction at the high-voltage region in sodium layered cathode materials generates structural instability and poor capacity retention upon cycling. Here, we report a doping strategy by incorporating light-weight boron into the cathode active material lattice to decrease the irreversible oxygen oxidation at high voltages (i.",290,True,https://www.nature.com/articles/s41467-021-25610-7.pdf,semantic_scholar
10.1021/acsami.4c07504,bc937dec01a2bc92ce8896cf5cc8c1240081b64b,Pore-Free Single-Crystalline Particles for Durable Na-Ion Battery Cathodes.,2024.0,"The O3-type Na[Ni1-x-yCoxMny]O2 cathodes have received significant attention in sodium-ion batteries (SIBs) due to their high energy density. However, challenges such as structural instability and interfacial instability against an electrolyte solution limit their practical use in SIBs. In this study, the single-crystalline O3-type Na[Ni0.6Co0.2Mn0.2]O2 (SC-NCM) cathode has been designed and synthesized to effectively relieve the degradation pathways of the polycrystalline O3-type Na[Ni0.6Co0.2M",9,False,,semantic_scholar
10.1021/acsami.0c20870,4e9b0e7779471b6d6ee08bd38e6c49110dab6d37,Insights on Electrochemical Behaviors of Sodium Peroxide as a Sacrificial Cathode Additive for Boosting Energy Density of Na-Ion Battery.,2021.0,"The development of Na-ion full cells (NIFCs) suffers from the issue that the solid electrolyte interphase formation on the carbon anode consumes the limited sodium from cathode and thus incurs the decreased energy density and poor cyclic stability. To address these issues, we herein report that Na2O2 could be used as a sacrificial Na source through spraying its slurry on the surface of cathode, and investigate its stability as well as electrochemical behavior toward NIFCs. The results show that ",42,True,https://doi.org/10.1021/acsami.0c20870.s001,semantic_scholar
10.1107/s2053273316095735,48ede9d04c241681e6e8398a19b745775eb9fb17,Heterometallic single precursor of oxides for Na-ion battery cathode materials,2016.0,,1,True,http://journals.iucr.org/a/issues/2016/a1/00/a54426/a54426.pdf,semantic_scholar
10.1021/acs.accounts.5b00482,228e00ee7bacb386f875bec8558d7431b6acc947,Na-Ion Battery Anodes: Materials and Electrochemistry.,2016.0,,969,False,,semantic_scholar
