doi,sentence
10/1007_s40820_023_01232_0_highentropy_layered_oxide_cathode_enabling,The slower sodium-ion kinetics of O3-type material is an inherent characteristic due to its narrower spacing between sodium interlayers.
10/1039_d2ya00282e_virtual_screening_of_organic_quinones,"Both of the two electrochemical properties cover a wide range, which offers an abundant selection of candidates for the SIB cathodes and in relation to that expands the list of compliant SIB anode materials that could be employed at the counter electrode."
10/1021_cm504339y_ordered_and_disordered_polymorphs_of,The rich yet relatively unexplored chemistry of Na-ion based electrodes has therefore received renewed interest from the battery community in recent years 2-4.
10/1038_s41467_019_09170_5_nasicontype_airstable_and_allclimate_cathode,"It can be seen that the charge/discharge curves of the Na 4 Fe 3 (PO 4 ) 2 (P 2 O 7 )// Hard carbon full cell are not as sloping as for those using PPycoated Fe 3 O 4 , so the energy density can be improved with an elevated mid-working voltage platform."
10/1007_s40820_025_01742_z_transformative_effect_of_li_salt,"The coin half-cell evaluation was performed with stacked electrode with sodium metal chip/glass filter/O3-type positive electrode and hard carbon electrode, respectively."
10/1016_j_jeurceramsoc_2023_04_008_high_performance_nasicon_ceramic_electrolytes,"According to this procedure, a cationic transference number equal to 0.986 is obtained, which can be associated to the contributions of NASICON's solid-state electrolyte in driving the free movement of Na ions and trapping anions ."
10/1038_s41467_024_54317_8_understanding_pillar_chemistry_in_potassiumcontaining,"To demonstrate the practical feasibility of our long-cycling KTiOPO 4 thin film anode, quasi-solid-state Na-ion full cells were assembled by coupling with a Na 3 (VO 0.5 ) 2 (PO 4 ) 2 F 2 @reduced graphene oxide (NVOPF@rGO) cathode (Supplementary Figs. 30, 31) and PVDF-HFPbased gel polymer electrolyte (GPE) (denoted as PVHNa-GPE, Supplementary Fig. 32), as schematically shown in Fig. 6a."
10/1007_s40820_019_0294_9_flexible_conductive_anodes_based_on,"S1 and S2), demonstrating that Sn/ NS-CNFs@rGO shows the highest electrochemical activity for sodium storage ."
10/1038_srep08418_inexpensive_antimony_nanocrystals_and_their,Two Na-ion anode materials -antimony (Sb) and phosphorus (P) -have been recently shown to offer excellent cycling stability (Sb) and highest known Na-ion charge storage capacity (P).
10/1002_aenm_202303833_review_insights_on_hard_carbon,Komaba et al. 295 were the first to report the benefits of FEC addition in Na-ion batteries.
10/1039_c9na00815b_simultaneously_formed_and_embeddingtype_ternary,"By contrast, the binary phases MoO 2 /NC exhibit extremely low capacity at high current rates due to the low Na-ion storage capability of MoO 2 ."
10/1038_s41467_025_57378_5_unravelling_the_structurestability_interplay_of,"A delicate coordination structure between the TMO 2 and NaO 2 slabs in the O3-type layered cathode may contribute to the reversibility of the O3-P3 phase transition and inhibit the cation migration behavior 15,16 ."
10/1039_d4cc03889d_electrodeelectrolyte_interactions_dictate_thermal_stability,"In the previous section, the m-Sn in the base + FEC electrolyte depicted the least heat generation under the ARC thermal response; henceforth, it was chosen as the anode material to construct the SIB full-cell."
10/1038_s41597_024_03196_1_a_documentlevel_information_extraction_pipeline,"Sodium-ion batteries (SIBs) have garnered significant attention due to their similar working principles to lithium-ion batteries and the abundant, cheap, and widely distributed sodium resources."
10/24845_ijfac_v6_i1_20_synthesis_and_characterization_of_amorphous,It is of great interest to investigate the utilization of TiO 2 for Na-ion batteries because of its success as an anode material for Li-ion batteries.
10/1039_d5nr01053e_controlling_the_structural_and_sodium,This study demonstrated the ability to control of glucose-derived hard carbons the heating rate of the initial temperature ramp rate during carbonization.
